"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1","Van Cuyck-Gandre,H.","Clements,N.J.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"2","Van Cuyck-Gandre,H.","Zhang,H.Y.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"3","Van Cuyck-Gandre,H.","Caudill,J.C.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"4","Van Cuyck-Gandre,H.","Cohen,S.J.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"5","Van Cuyck-Gandre,H.","Coursaget,P.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"6","Van Cuyck-Gandre,H.","Buisson,Y.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"7","Van Cuyck-Gandre,H.","Warren,R.L.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"8","Van Cuyck-Gandre,H.","Longer,C.F.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"145","Clements,N.J.","Zhang,H.Y.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
"146","Clements,N.J.","Caudill,J.C.",1995,"Submitted (06-NOV-1995) Department of Virus Diseases, Walter Reed	Army Institute of Research, Washington, DC 20307-5100, USA","Hepatitis E virus","Viruses",12461
