"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1","Ushijima,H.","Kakizawa,J.",1997,"Submitted (08-JAN-1997) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 1","Viruses",12456
"2","Ushijima,H.","Leying,W.",1997,"Submitted (08-JAN-1997) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 1","Viruses",12456
"145","Kakizawa,J.","Leying,W.",1997,"Submitted (08-JAN-1997) Hiroshi Ushijima, Aino University, Aino	Health Research Center; Shibuya Toho Building 4F, 2-17-3 Shibuya,	Shibuya-ku, Tokyo 150-0002, Japan	(E-mail:ushijima-hiroshi@jcom.home.ne.jp, Tel:81-3-3486-8481,	Fax:81-3-3486-8481)","Human astrovirus 1","Viruses",12456
"11","Sumi,S.","Tsuneyoshi,T.",1997,"Submitted (03-FEB-1997) Contact:Shin-ichiro Sumi Wakunaga	Pharmaceutical Co., Ltd., Institute for Biotechnology Research;	1624 Shimokotachi, Koda-Cho, Takata-Gun, Hiroshima 739-11, Japan","Onion yellow dwarf virus","Viruses",43130
"21","Sumi,S.","Matsumi,T.",1997,"Submitted (03-FEB-1997) Contact:Shin-ichiro Sumi Wakunaga	Pharmaceutical Co., Ltd., Institute for Biotechnology Research;	1624 Shimokotachi, Koda-Cho, Takata-Gun, Hiroshima 739-11, Japan","Onion yellow dwarf virus","Viruses",43130
"3","Sumi,S.","Natsuaki,K.T.",1997,"Submitted (03-FEB-1997) Contact:Shin-ichiro Sumi Wakunaga	Pharmaceutical Co., Ltd., Institute for Biotechnology Research;	1624 Shimokotachi, Koda-Cho, Takata-Gun, Hiroshima 739-11, Japan","Onion yellow dwarf virus","Viruses",43130
"1451","Tsuneyoshi,T.","Matsumi,T.",1997,"Submitted (03-FEB-1997) Contact:Shin-ichiro Sumi Wakunaga	Pharmaceutical Co., Ltd., Institute for Biotechnology Research;	1624 Shimokotachi, Koda-Cho, Takata-Gun, Hiroshima 739-11, Japan","Onion yellow dwarf virus","Viruses",43130
"146","Tsuneyoshi,T.","Natsuaki,K.T.",1997,"Submitted (03-FEB-1997) Contact:Shin-ichiro Sumi Wakunaga	Pharmaceutical Co., Ltd., Institute for Biotechnology Research;	1624 Shimokotachi, Koda-Cho, Takata-Gun, Hiroshima 739-11, Japan","Onion yellow dwarf virus","Viruses",43130
"288","Matsumi,T.","Natsuaki,K.T.",1997,"Submitted (03-FEB-1997) Contact:Shin-ichiro Sumi Wakunaga	Pharmaceutical Co., Ltd., Institute for Biotechnology Research;	1624 Shimokotachi, Koda-Cho, Takata-Gun, Hiroshima 739-11, Japan","Onion yellow dwarf virus","Viruses",43130
"12","Daikoku,T.","Shibata,S.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"22","Daikoku,T.","Goshima,F.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"31","Daikoku,T.","Oshima,S.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"4","Daikoku,T.","Tsurumi,T.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"5","Daikoku,T.","Yamada,H.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"6","Daikoku,T.","Yamashita,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"7","Daikoku,T.","Nishiyama,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"1452","Shibata,S.","Goshima,F.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"1461","Shibata,S.","Oshima,S.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"147","Shibata,S.","Tsurumi,T.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"148","Shibata,S.","Yamada,H.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"149","Shibata,S.","Yamashita,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"150","Shibata,S.","Nishiyama,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"2881","Goshima,F.","Oshima,S.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"289","Goshima,F.","Tsurumi,T.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"290","Goshima,F.","Yamada,H.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"291","Goshima,F.","Yamashita,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"292","Goshima,F.","Nishiyama,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"430","Oshima,S.","Tsurumi,T.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"431","Oshima,S.","Yamada,H.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"432","Oshima,S.","Yamashita,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"433","Oshima,S.","Nishiyama,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"571","Tsurumi,T.","Yamada,H.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"572","Tsurumi,T.","Yamashita,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"573","Tsurumi,T.","Nishiyama,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"711","Yamada,H.","Yamashita,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"712","Yamada,H.","Nishiyama,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"850","Yamashita,Y.","Nishiyama,Y.",1997,"Submitted (25-FEB-1997) Shin-ichiro Shibata, Nagoya City Public	Health Research Institute, Microbiology Department Virology	Section; 1-11 Hagiyama-cho Mizuho-ku, Nagoya, Aichi 467-8615, Japan	(E-mail:vshibata@mars.dti.ne.jp, Tel:81-52-841-1511,	Fax:81-52-841-1514)","Human alphaherpesvirus 2","Viruses",10310
"13","Hagiwara,K.","Kawamoto,S.",1997,"Submitted (27-FEB-1997) Contact:Kazuyoshi Ikuta Hokkaido	University, Institute of Immunological Science; Kita-15, Nishi-7,	Kita-ku, Sapporo, Hokkaido 060, Japan","Borna disease virus 1","Viruses",1714621
"23","Hagiwara,K.","Takahashi,H.",1997,"Submitted (27-FEB-1997) Contact:Kazuyoshi Ikuta Hokkaido	University, Institute of Immunological Science; Kita-15, Nishi-7,	Kita-ku, Sapporo, Hokkaido 060, Japan","Borna disease virus 1","Viruses",1714621
"32","Hagiwara,K.","Nakamura,Y.",1997,"Submitted (27-FEB-1997) Contact:Kazuyoshi Ikuta Hokkaido	University, Institute of Immunological Science; Kita-15, Nishi-7,	Kita-ku, Sapporo, Hokkaido 060, Japan","Borna disease virus 1","Viruses",1714621
"41","Hagiwara,K.","Nakaya,T.",1997,"Submitted (27-FEB-1997) Contact:Kazuyoshi Ikuta Hokkaido	University, Institute of Immunological Science; Kita-15, Nishi-7,	Kita-ku, Sapporo, Hokkaido 060, Japan","Borna disease virus 1","Viruses",1714621
