"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1","Lillehaug,D.","Nes,I.F.",1994,"Submitted (04-JUN-1994) Department of Chemistry and Biotechnology,	Laboratory of Microbial Gene Technology, P.O.Box 5051, Agricultural	University of Norway, N-1432 Aas 1432, Norway","Lactococcus phage phiLC3","Viruses",12390
"2","Lillehaug,D.","Birkeland,N.K.",1994,"Submitted (04-JUN-1994) Department of Chemistry and Biotechnology,	Laboratory of Microbial Gene Technology, P.O.Box 5051, Agricultural	University of Norway, N-1432 Aas 1432, Norway","Lactococcus phage phiLC3","Viruses",12390
"145","Nes,I.F.","Birkeland,N.K.",1994,"Submitted (04-JUN-1994) Department of Chemistry and Biotechnology,	Laboratory of Microbial Gene Technology, P.O.Box 5051, Agricultural	University of Norway, N-1432 Aas 1432, Norway","Lactococcus phage phiLC3","Viruses",12390
"11","Zou,N.","Park,K.",1994,"Submitted (07-JUN-1994) Comparative Medicine, University of Alabama	at Birmingham, 1670 University Blvd., Birmingham, AL 35294-0019,	USA","Mycoplasma virus P1","Viruses",35238
"21","Zou,N.","Dybvig,K.",1994,"Submitted (07-JUN-1994) Comparative Medicine, University of Alabama	at Birmingham, 1670 University Blvd., Birmingham, AL 35294-0019,	USA","Mycoplasma virus P1","Viruses",35238
"1451","Park,K.","Dybvig,K.",1994,"Submitted (07-JUN-1994) Comparative Medicine, University of Alabama	at Birmingham, 1670 University Blvd., Birmingham, AL 35294-0019,	USA","Mycoplasma virus P1","Viruses",35238
"12","Gelinas,A.-M.","Dea,S.",1994,"Submitted (03-FEB-1994) CMB, INRS-Institut Armand-Frappier, 531	Boulevard des Prairies, Laval, Quebec H7V 1B7, Canada","Bovine coronavirus","Viruses",11128
"13","Chung,H.-K.","Lee,S.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"22","Chung,H.-K.","Lee,H.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"3","Chung,H.-K.","Lee,D.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"4","Chung,H.-K.","Kim,Y.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"1452","Lee,S.","Lee,H.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"146","Lee,S.","Lee,D.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"147","Lee,S.","Kim,Y.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"288","Lee,H.","Lee,D.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"289","Lee,H.","Kim,Y.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
"430","Lee,D.","Kim,Y.",1994,"Submitted (14-JAN-1994) Contact:Hye-Kyung Chung Institute for	Genetic Engineering KonKuk University, Department of Biology;	Mojin-dong, Sungdong-Gu, Seoul 133-701, Korea","Infectious pancreatic necrosis virus","Viruses",11002
