"","Auth1","Auth2","ref.year","journal","tax_name","top1_tax_name","tax_id"
"1","Okamoto,Y.","Shiosaki,K.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"2","Okamoto,Y.","Eda,Y.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"3","Okamoto,Y.","Tokiyoshi,S.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"4","Okamoto,Y.","Yamaguchi,Y.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"5","Okamoto,Y.","Gojohbori,T.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"6","Okamoto,Y.","Hachimori,T.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"7","Okamoto,Y.","Yamazaki,S.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"8","Okamoto,Y.","Honda,M.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"145","Shiosaki,K.","Eda,Y.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"146","Shiosaki,K.","Tokiyoshi,S.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"147","Shiosaki,K.","Yamaguchi,Y.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"148","Shiosaki,K.","Gojohbori,T.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"149","Shiosaki,K.","Hachimori,T.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"150","Shiosaki,K.","Yamazaki,S.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"151","Shiosaki,K.","Honda,M.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"288","Eda,Y.","Tokiyoshi,S.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"289","Eda,Y.","Yamaguchi,Y.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"290","Eda,Y.","Gojohbori,T.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"291","Eda,Y.","Hachimori,T.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"292","Eda,Y.","Yamazaki,S.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
"293","Eda,Y.","Honda,M.",1996,"Submitted (24-DEC-1996) Mitsuo Honda, National Institute of Health,	AIDS Research Center; Toyama 1-23-1, Shinjukuku, Tokyo 162, Japan	(E-mail:mhonda@nih.go.jp, Tel:81-3-5285-1111, Fax:81-3-5285-1183)","Human immunodeficiency virus 1","Viruses",11676
